Unnamed: 0,Company,TypeName,Ram,Gpu,Weight,Touchscreen,IPS_display,SSD,HDD,Flash_Storage,Hybrid,Oper_sys,Clock_speed,CPU,ppi,Price
0,Apple,Ultrabook,8.0,Intel,1.37,0,1,128,0,0,0,Mac OS,2.3,Intel Core i5,226.98300468106115,11.175754549129524
1,Apple,Ultrabook,8.0,Intel,1.34,0,0,0,0,128,0,Mac OS,1.8,Intel Core i5,127.67794013309688,10.77677731765335
2,HP,Notebook,8.0,Intel,1.86,0,0,256,0,0,0,No OS/Chrome OS/Android,2.5,Intel Core i5,141.21199808219862,10.329931067029484
3,Apple,Ultrabook,16.0,AMD,1.83,0,1,512,0,0,0,Mac OS,2.7,Intel Core i7,220.53462386625827,11.814475944954545
4,Apple,Ultrabook,8.0,Intel,1.37,0,1,256,0,0,0,Mac OS,3.1,Intel Core i5,226.98300468106115,11.473100972779063
5,Acer,Notebook,4.0,AMD,2.1,0,0,0,500,0,0,Windows 10,3.0,AMD,100.45466986113652,9.967025573340116
6,Apple,Ultrabook,16.0,Intel,2.04,0,1,0,0,256,0,Mac OS,2.2,Intel Core i7,220.53462386625827,11.64410811545818
7,Apple,Ultrabook,8.0,Intel,1.34,0,0,0,0,256,0,Mac OS,1.8,Intel Core i5,127.67794013309688,11.03061499223515
8,Asus,Ultrabook,16.0,Nvidia,1.3,0,0,512,0,0,0,Windows 10,1.8,Intel Core i7,157.3505121487356,11.28544251205692
9,Acer,Ultrabook,8.0,Intel,1.6,0,1,256,0,0,0,Windows 10,1.6,Intel Core i5,157.3505121487356,10.621951541079865
10,HP,Notebook,4.0,Intel,1.86,0,0,0,500,0,0,No OS/Chrome OS/Android,2.5,Intel Core i5,100.45466986113652,9.951658096208996
11,HP,Notebook,4.0,Intel,1.86,0,0,0,500,0,0,No OS/Chrome OS/Android,2.0,Intel Core i3,141.21199808219862,9.81907645733616
12,Apple,Ultrabook,16.0,AMD,1.83,0,1,256,0,0,0,Mac OS,2.8,Intel Core i7,220.53462386625827,11.775302049361828
13,Dell,Notebook,4.0,AMD,2.2,0,0,256,0,0,0,Windows 10,2.0,Intel Core i3,141.21199808219862,10.187966701099125
14,Apple,Ultrabook,8.0,Intel,0.92,0,1,256,0,0,0,Mac OS,1.2,Other Intel Processors,226.4155471693585,11.116330976323743
15,Apple,Ultrabook,8.0,Intel,1.37,0,1,256,0,0,0,Mac OS,2.3,Intel Core i5,226.98300468106115,11.301072237406668
16,Dell,Notebook,8.0,AMD,2.2,0,0,256,0,0,0,Windows 10,2.7,Intel Core i7,141.21199808219862,10.588945244611692
17,Apple,Ultrabook,16.0,AMD,1.83,0,1,512,0,0,0,Mac OS,2.9,Intel Core i7,220.53462386625827,11.933438384721946
18,Lenovo,Notebook,8.0,Nvidia,2.2,0,0,0,1000,0,0,No OS/Chrome OS/Android,2.4,Intel Core i3,141.21199808219862,10.188167121983652
19,Dell,Ultrabook,8.0,Intel,1.22,1,1,128,0,0,0,Windows 10,1.6,Intel Core i5,165.6321180513006,10.862092668762644
20,Asus,Netbook,2.0,Intel,0.98,0,0,0,0,32,0,Windows 10,1.44,Other Intel Processors,135.0942111925629,9.232535429245788
21,Lenovo,Gaming,8.0,Nvidia,2.5,0,1,128,1000,0,0,Windows 10,2.5,Intel Core i5,141.21199808219862,10.882315804880689
22,HP,Notebook,4.0,AMD,1.86,0,0,0,500,0,0,No OS/Chrome OS/Android,1.5,AMD,100.45466986113652,9.528520611153752
23,Dell,2 in 1 Convertible,8.0,Intel,1.62,1,0,256,0,0,0,Windows 10,1.6,Intel Core i5,165.6321180513006,10.683645110085203
24,HP,Ultrabook,8.0,Intel,1.91,0,0,256,0,0,0,Windows 10,1.8,Intel Core i7,141.21199808219862,10.46628456073464
25,Dell,Notebook,4.0,Intel,2.3,0,0,0,1000,0,0,Windows 10,2.0,Intel Core i3,100.45466986113652,10.012572388296086
26,Apple,Ultrabook,8.0,Intel,1.35,0,0,0,0,128,0,Mac OS,1.6,Intel Core i5,127.67794013309688,10.977716980635757
27,Dell,Notebook,8.0,AMD,2.2,0,0,256,0,0,0,Windows 10,1.6,Intel Core i5,141.21199808219862,10.660172753900062
28,Dell,Ultrabook,8.0,Intel,1.88,0,0,256,0,0,0,Windows 10,1.9,Intel Core i7,141.21199808219862,11.144140923496169
29,HP,Notebook,8.0,Nvidia,2.5,0,0,0,1000,0,0,Windows 10,1.6,Intel Core i5,127.33567457123112,10.773501439207063
30,Chuwi,Notebook,4.0,Intel,1.89,0,0,0,0,64,0,Windows 10,1.44,Other Intel Processors,141.21199808219862,9.476778419617322
31,Asus,Notebook,2.0,AMD,1.65,0,0,0,0,32,0,Windows 10,1.5,AMD,111.93520355955212,9.268865850956626
32,HP,Notebook,4.0,AMD,2.71,0,0,0,500,0,0,Windows 10,2.5,AMD,127.33567457123112,10.060060439307303
33,Dell,Ultrabook,16.0,Intel,1.2,1,0,512,0,0,0,Windows 10,1.8,Intel Core i7,276.053530085501,11.508719833687696
34,Apple,Ultrabook,8.0,Intel,1.35,0,0,0,0,256,0,Mac OS,1.6,Intel Core i5,127.67794013309688,10.881314302543595
35,Lenovo,Notebook,4.0,Intel,1.44,0,0,0,0,64,0,Windows 10,1.1,Other Intel Processors,111.93520355955212,9.49301392269684
36,Acer,Notebook,4.0,Intel,2.1,0,0,0,1000,0,0,Linux,2.7,Intel Core i3,100.45466986113652,9.880922874286703
37,Dell,Notebook,8.0,AMD,2.8,0,1,128,1000,0,0,Windows 10,1.6,Intel Core i5,127.33567457123112,10.862092668762644
38,HP,Notebook,4.0,Intel,1.86,0,0,0,1000,0,0,Windows 10,2.5,Intel Core i5,100.45466986113652,10.167289367847482
39,HP,Notebook,8.0,Nvidia,2.1,0,0,256,0,0,0,Windows 10,1.6,Intel Core i5,141.21199808219862,10.754345923917311
40,Asus,Notebook,4.0,Intel,2.0,0,0,0,1000,0,0,Linux,2.0,Intel Core i3,141.21199808219862,9.93914036985058
41,Dell,Gaming,16.0,Nvidia,2.65,0,1,256,1000,0,0,Windows 10,2.8,Intel Core i7,141.21199808219862,11.288114524334732
42,Asus,Notebook,8.0,Nvidia,2.3,0,0,0,1000,0,0,Linux,2.5,Intel Core i5,100.45466986113652,10.235123369655367
43,Acer,Notebook,4.0,Intel,2.2,0,1,256,0,0,0,Windows 10,1.6,Intel Core i5,141.21199808219862,10.500590684075595
44,Dell,2 in 1 Convertible,12.0,Nvidia,2.77,1,0,0,1000,0,0,Windows 10,1.6,Intel Core i5,127.33567457123112,10.882315804880689
